						
						
Energy	total	scatter	capture	fission		
2.19E-04	14.06552	13.52901	0.5365176	0		
2.38E-04	13.70399	13.18909	0.5149038	0		
2.56E-04	13.38833	12.89262	0.495708	0		
2.75E-04	13.11021	12.6317	0.4785104	0		
2.94E-04	12.86325	12.40026	0.462987	0		
3.13E-04	12.64243	12.19355	0.4488824	0		
3.31E-04	12.44379	12.00779	0.4359931	0		
3.50E-04	12.26412	11.83996	0.4241539	0		
3.88E-04	11.95175	11.54864	0.4031081	0		
4.25E-04	11.68943	11.30451	0.3849132	0		
4.63E-04	11.46603	11.09705	0.3689787	0		
5.00E-04	11.2735	10.91863	0.3548723	0		
5.31E-04	11.13229	10.78802	0.3442767	0		
5.63E-04	11.00569	10.67111	0.3345767	0		
5.94E-04	10.89154	10.56589	0.3256531	0		
6.25E-04	10.7881	10.4707	0.3174073	0		
6.88E-04	10.60788	10.30524	0.302636	0		
7.50E-04	10.45619	10.16644	0.2897519	0		
8.13E-04	10.32677	10.04839	0.2783847	0		
8.75E-04	10.21507	9.946809	0.2682582	0		
9.38E-04	10.11768	9.858517	0.2591621	0		
0.001	10.03202	9.781089	0.2509327	0		
0.0010625	9.956093	9.712652	0.2434405	0		
0.001125	9.888321	9.651739	0.2365817	0		
0.0011875	9.827454	9.597182	0.2302718	0		
0.00125	9.772484	9.548043	0.2244413	0		
0.001375	9.677091	9.463094	0.2139965	0		
0.0015	9.597139	9.392252	0.2048863	0		
0.001625	9.52913	9.332282	0.1968485	0		
0.00175	9.470553	9.280865	0.1896882	0		
0.001875	9.419553	9.236296	0.1832564	0		
0.002	9.374732	9.197295	0.1774374	0		
0.0021875	9.31681	9.147147	0.1696629	0		
0.002375	9.267743	9.104915	0.1628283	0		
0.0025625	9.22562	9.068862	0.1567583	0		
0.00275	9.189046	9.037726	0.1513202	0		
0.0029375	9.156975	9.010564	0.1464114	0		
0.003125	9.128612	8.986661	0.1419513	0		
0.0033125	9.10334	8.965465	0.1378754	0		
0.0035	9.080671	8.946539	0.1341316	0		
0.003875	9.041659	8.914183	0.1274762	0		
0.00425	9.009258	8.887536	0.1217222	0		
0.004625	8.981893	8.86521	0.116683	0		
0.005	8.958455	8.846233	0.1122218	0		
0.0053125	8.941337	8.832466	0.108871	0		
0.005625	8.926031	8.820228	0.1058034	0		
0.0059375	8.91226	8.809278	0.1029812	0		
0.00625	8.899797	8.799424	0.1003734	0		
0.006875	8.878103	8.782402	0.09570171	0		
0.0075	8.859843	8.768217	0.09162657	0		
0.008125	8.844245	8.756214	0.08803101	0		
0.00875	8.830754	8.745926	0.08482794	0		
0.009375	8.81896	8.737009	0.081951	0		
0.01	8.808556	8.729207	0.07934854	0		
0.010625	8.799303	8.722323	0.07697966	0		
0.01125	8.791015	8.716204	0.07481138	0		
0.011875	8.783545	8.710729	0.07281683	0		
0.0125	8.776775	8.705801	0.07097386	0		
0.01375	8.764961	8.697289	0.06767194	0		
0.015	8.754987	8.690196	0.06479084	0		
0.01625	8.746442	8.684194	0.06224792	0		
