
=================
== PulseHeight ==
=================
Number of histories: 100000000
Track time: 280148170
Estimator report: pulse height tally for detector region 
=========================================================== 
Lower Bin [eV]    Upper Bin [eV]    Score/NPS         Rel. Uncertainty 
1.375e+06         1.38e+06          0                 nan               
1.38e+06          1.385e+06         0                 nan               
1.385e+06         1.39e+06          0                 nan               
1.39e+06          1.395e+06         0                 nan               
1.395e+06         1.4e+06           0                 nan               
1.4e+06           1.405e+06         0                 nan               
1.405e+06         1.41e+06          0                 nan               
1.41e+06          1.415e+06         0                 nan               
1.415e+06         1.42e+06          0                 nan               
1.42e+06          1.425e+06         0                 nan               
1.425e+06         1.43e+06          0                 nan               
1.43e+06          1.435e+06         0                 nan               
1.435e+06         1.44e+06          0                 nan               
1.44e+06          1.445e+06         0                 nan               
1.445e+06         1.45e+06          0                 nan               
1.45e+06          1.455e+06         0                 nan               
1.455e+06         1.46e+06          0                 nan               
1.46e+06          1.465e+06         0                 nan               
1.465e+06         1.47e+06          0                 nan               
1.47e+06          1.475e+06         0                 nan               
1.475e+06         1.48e+06          0                 nan               
1.48e+06          1.485e+06         0                 nan               
1.485e+06         1.49e+06          0                 nan               
1.49e+06          1.495e+06         0                 nan               
1.495e+06         1.5e+06           0                 nan               

Total pulse height tally:           0.191124          0.000205723       

