							
							
energy	total	scatter	capture	fission			
291.252	5.302798	0	2.340934	0			
291.3029	5.475375	0	2.56745	0			
291.3539	5.692115	0	2.838717	0			
291.4048	5.967311	0	3.167486	0			
291.4557	6.322235	0	3.573052	0			
291.5066	6.785483	0	4.080866	0			
291.5576	7.397073	0	4.726393	0			
291.5831	7.773772	0	5.114076	0			
291.6085	8.206078	0	5.552029	0			
291.634	8.70631	0	6.051402	0			
291.6595	9.282989	0	6.619276	0			
291.685	9.947471	0	7.265383	0			
291.7104	10.70921	0	7.99747	0			
291.7359	11.58819	0	8.833204	0			
291.7614	12.59706	0	9.782962	0			
291.7869	13.75266	0	10.86096	0			
291.8123	15.06767	0	12.07742	0			
291.8378	16.5719	0	13.4582	0			
291.8632	18.27407	0	15.00957	0			
291.8887	20.20924	0	16.76171	0			
291.9141	22.38454	0	18.71928	0			
291.9396	24.84002	0	20.91648	0			
291.9651	27.59077	0	23.36489	0			
291.9906	30.65964	0	26.08298	0			
292.016	34.05467	0	29.07602	0			
292.0415	37.82329	0	32.38393	0			
292.067	41.97165	0	36.01007	0			
292.0925	46.51599	0	39.96671	0			
292.1179	51.44903	0	44.24561	0			
292.1689	62.61016	0	53.87409	0			
292.2198	75.42202	0	64.8512	0			
292.2707	89.81929	0	77.10521	0			
292.3216	105.603	0	90.45071	0			
292.4122	136.0474	0	115.9437	0			
292.5027	167.0166	0	141.5095	0			
292.565	186.7952	0	157.58	0			
292.6272	203.8327	0	171.1623	0			
292.7064	219.7638	0	183.3832	0			
292.7488	225.0235	0	187.0974	0			
292.7912	227.7474	0	188.6444	0			
292.8	227.985	0	188.6872	0			
292.8089	228.1097	0	188.6326	0			
292.8363	227.7637	0	187.849	0			
292.8637	226.3248	0	186.1475	0			
292.9184	220.301	0	180.1238	0			
292.98	208.937	0	169.5637	0			
293.0415	193.5969	0	155.7834	0			
293.1456	161.6674	0	127.8026	0			
293.2496	127.2123	0	98.19213	0			
293.3017	110.5832	0	84.06333	0			
293.3537	95.04745	0	70.95367	0			
293.4058	80.86671	0	59.06669	0			
293.4578	68.28701	0	48.59199	0			
293.5099	57.33561	0	39.53586	0			
293.5619	48.03342	0	31.89963	0			
293.588	43.95011	0	28.56751	0			
293.614	40.25	0	25.56066	0			
293.64	36.89741	0	22.84813	0			
293.666	33.87131	0	20.41107	0			
293.6909	31.2589	0	18.31727	0			
293.7157	28.91474	0	16.44782	0			
293.7406	26.80002	0	14.77026	0			
293.7654	24.91218	0	13.2811	0			
293.7903	23.21681	0	11.95179	0			
293.8151	21.70921	0	10.77728	0			
293.8399	20.36478	0	9.737046	0			
293.8647	19.16715	0	8.817131	0			
293.8896	18.09697	0	8.001495	0			
293.9144	17.14862	0	7.284689	0			
293.9393	16.30134	0	6.649892	0			
293.9641	15.55003	0	6.092222	0			
293.989	14.87779	0	5.598126	0			
294.0138	14.28032	0	5.163494	0			
294.0634	13.26738	0	4.438365	0			
294.1131	12.44854	0	3.865579	0			
294.1628	11.78032	0	3.409358	0			
294.2125	11.22767	0	3.041251	0			
294.2621	10.76486	0	2.740459	0			
294.3118	10.37013	0	2.489927	0			
294.3615	10.02956	0	2.278601	0			
294.4112	9.732034	0	2.097839	0			
294.4608	9.469712	0	1.941553	0			
294.5507	9.063089	0	1.705177	0			
294.6406	8.724273	0	1.51383	0			
294.7305	8.436543	0	1.355493	0			
294.8204	8.188633	0	1.22228	0			
294.9103	7.972574	0	1.108749	0			
295.0002	7.782503	0	1.010975	0			
295.0901	7.613958	0	0.9260231	0			
295.18	7.46348	0	0.8516541	0			
295.3598	7.206309	0	0.7280397	0			
295.5396	6.994792	0	0.6299859	0			
295.7194	6.817969	0	0.5508038	0			
295.8992	6.668127	0	0.4858969	0			
296.0696	6.545932	0	0.4345943	0			
296.2399	6.439436	0	0.3911774	0			
296.4103	6.345757	0	0.3540581	0			
296.5806	6.262813	0	0.3220867	0			
296.751	6.188749	0	0.2942878	0			
296.9213	6.122255	0	0.269963	0			
297.2619	6.007698	0	0.2295511	0			
297.6026	5.912665	0	0.1975883	0			
297.9432	5.832742	0	0.1719138	0			
298.2839	5.764611	0	0.1509695	0			
298.6245	5.7059	0	0.1336671	0			
298.9463	5.657433	0	0.1199374	0			
299.268	5.614593	0	0.1082425	0			
299.5898	5.576461	0	0.09819985	0			
299.9115	5.542392	0	0.08953811	0			
300.2333	5.51178	0	0.0820196	0			
300.555	5.484015	0	0.07541593	0			
301.1984	5.435389	0	0.0643506	0			
